dtmn;dt;município_dsg
0101;01;Águeda
0102;01;Albergaria-a-Velha
0103;01;Anadia
0104;01;Arouca
0105;01;Aveiro
0106;01;Castelo de Paiva
0107;01;Espinho
0108;01;Estarreja
0109;01;Santa Maria da Feira
0110;01;Ílhavo
0111;01;Mealhada
0112;01;Murtosa
0113;01;Oliveira de Azeméis
0114;01;Oliveira do Bairro
0115;01;Ovar
0116;01;São João da Madeira
0117;01;Sever do Vouga
0118;01;Vagos
0119;01;Vale de Cambra
0201;02;Aljustrel
0202;02;Almodôvar
0203;02;Alvito
0204;02;Barrancos
0205;02;Beja
0206;02;Castro Verde
0207;02;Cuba
0208;02;Ferreira do Alentejo
0209;02;Mértola
0210;02;Moura
0211;02;Odemira
0212;02;Ourique
0213;02;Serpa
0214;02;Vidigueira
0301;03;Amares
0302;03;Barcelos
0303;03;Braga
0304;03;Cabeceiras de Basto
0305;03;Celorico de Basto
0306;03;Esposende
0307;03;Fafe
0308;03;Guimarães
0309;03;Póvoa de Lanhoso
0310;03;Terras de Bouro
0311;03;Vieira do Minho
0312;03;Vila Nova de Famalicão
0313;03;Vila Verde
0314;03;Vizela
0401;04;Alfândega da Fé
0402;04;Bragança
0403;04;Carrazeda de Ansiães
0404;04;Freixo de Espada à Cinta
0405;04;Macedo de Cavaleiros
0406;04;Miranda do Douro
0407;04;Mirandela
0408;04;Mogadouro
0409;04;Torre de Moncorvo
0410;04;Vila Flor
0411;04;Vimioso
0412;04;Vinhais
0501;05;Belmonte
0502;05;Castelo Branco
0503;05;Covilhã
0504;05;Fundão
0505;05;Idanha-a-Nova
0506;05;Oleiros
0507;05;Penamacor
0508;05;Proença-a-Nova
0509;05;Sertã
0510;05;Vila de Rei
0511;05;Vila Velha de Ródão
0601;06;Arganil
0602;06;Cantanhede
0603;06;Coimbra
0604;06;Condeixa-a-Nova
0605;06;Figueira da Foz
0606;06;Góis
0607;06;Lousã
0608;06;Mira
0609;06;Miranda do Corvo
0610;06;Montemor-o-Velho
0611;06;Oliveira do Hospital
0612;06;Pampilhosa da Serra
0613;06;Penacova
0614;06;Penela
0615;06;Soure
0616;06;Tábua
0617;06;Vila Nova de Poiares
0701;07;Alandroal
0702;07;Arraiolos
0703;07;Borba
0704;07;Estremoz
0705;07;Évora
0706;07;Montemor-o-Novo
0707;07;Mora
0708;07;Mourão
0709;07;Portel
0710;07;Redondo
0711;07;Reguengos de Monsaraz
0712;07;Vendas Novas
0713;07;Viana do Alentejo
0714;07;Vila Viçosa
0801;08;Albufeira
0802;08;Alcoutim
0803;08;Aljezur
0804;08;Castro Marim
0805;08;Faro
0806;08;Lagoa
0807;08;Lagos
0808;08;Loulé
0809;08;Monchique
0810;08;Olhão
0811;08;Portimão
0812;08;São Brás de Alportel
0813;08;Silves
0814;08;Tavira
0815;08;Vila do Bispo
0816;08;Vila Real de Santo António
0901;09;Aguiar da Beira
0902;09;Almeida
0903;09;Celorico da Beira
0904;09;Figueira de Castelo Rodrigo
0905;09;Fornos de Algodres
0906;09;Gouveia
0907;09;Guarda
0908;09;Manteigas
0909;09;Mêda
0910;09;Pinhel
0911;09;Sabugal
0912;09;Seia
0913;09;Trancoso
0914;09;Vila Nova de Foz Côa
1001;10;Alcobaça
1002;10;Alvaiázere
1003;10;Ansião
1004;10;Batalha
1005;10;Bombarral
1006;10;Caldas da Rainha
1007;10;Castanheira de Pêra
1008;10;Figueiró dos Vinhos
1009;10;Leiria
1010;10;Marinha Grande
1011;10;Nazaré
1012;10;Óbidos
1013;10;Pedrógão Grande
1014;10;Peniche
1015;10;Pombal
1016;10;Porto de Mós
1101;11;Alenquer
1102;11;Arruda dos Vinhos
1103;11;Azambuja
1104;11;Cadaval
1105;11;Cascais
1106;11;Lisboa
1107;11;Loures
1108;11;Lourinhã
1109;11;Mafra
1110;11;Oeiras
1111;11;Sintra
1112;11;Sobral de Monte Agraço
1113;11;Torres Vedras
1114;11;Vila Franca de Xira
1115;11;Amadora
1116;11;Odivelas
1201;12;Alter do Chão
