dtmnfr;dtmn;freguesia_dsg
010103;0101;Aguada de Cima
010109;0101;Fermentelos
010112;0101;Macinhata do Vouga
010119;0101;Valongo do Vouga
010124;0101;União das freguesias de Recardães e Espinhel
010125;0101;União das freguesias de Travassô e Óis da Ribeira
010126;0101;União das freguesias de Trofa, Segadães e Lamas do Vouga
010127;0101;União das freguesias do Préstimo e Macieira de Alcoba
010128;0101;Agadão
010129;0101;Aguada de Baixo
010130;0101;Águeda
010131;0101;Barrô
010132;0101;Belazaima do Chão
010133;0101;Borralha
010134;0101;Castanheira do Vouga
010202;0102;Alquerubim
010203;0102;Angeja
010204;0102;Branca
010206;0102;Ribeira de Fráguas
010209;0102;Albergaria-a-Velha e Valmaior
010210;0102;São João de Loure e Frossos
010304;0103;Avelãs de Caminho
010305;0103;Avelãs de Cima
010307;0103;Moita
010309;0103;Sangalhos
010310;0103;São Lourenço do Bairro
010312;0103;Vila Nova de Monsarros
010313;0103;Vilarinho do Bairro
010316;0103;União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas
010317;0103;União das freguesias de Arcos e Mogofores
010318;0103;União das freguesias de Tamengos, Aguim e Óis do Bairro
010402;0104;Alvarenga
010407;0104;Chave
010409;0104;Escariz
010411;0104;Fermedo
010413;0104;Mansores
010414;0104;Moldes
010415;0104;Rossas
010416;0104;Santa Eulália
010417;0104;São Miguel do Mato
010418;0104;Tropeço
010419;0104;Urrô
010420;0104;Várzea
010421;0104;União das freguesias de Arouca e Burgo
010422;0104;União das freguesias de Cabreiros e Albergaria da Serra
010423;0104;União das freguesias de Canelas e Espiunca
010424;0104;União das freguesias de Covelo de Paivó e Janarde
010501;0105;Aradas
010502;0105;Cacia
010505;0105;Esgueira
010508;0105;Oliveirinha
010510;0105;São Bernardo
010511;0105;São Jacinto
010513;0105;Santa Joana
010515;0105;Eixo e Eirol
010516;0105;Requeixo, Nossa Senhora de Fátima e Nariz
010517;0105;União das freguesias de Glória e Vera Cruz
010602;0106;Fornos
010606;0106;Real
010607;0106;Santa Maria de Sardoura
010608;0106;São Martinho de Sardoura
010612;0106;Bairros
010613;0106;Paraíso
010614;0106;Pedorido
010615;0106;Raiva
010616;0106;Sobrado
010702;0107;Espinho
010704;0107;Paramos
010705;0107;Silvalde
010707;0107;Anta
010708;0107;Guetim
010801;0108;Avanca
010805;0108;Pardilhó
010806;0108;Salreu
010809;0108;União das freguesias de Canelas e Fermelã
010810;0108;Beduído
010811;0108;Veiros
010901;0109;Argoncilhe
010902;0109;Arrifana
010904;0109;Escapães
010907;0109;Fiães
010908;0109;Fornos
010913;0109;Lourosa
010914;0109;Milheirós de Poiares
010916;0109;Mozelos
010917;0109;Nogueira da Regedoura
010918;0109;São Paio de Oleiros
010919;0109;Paços de Brandão
010921;0109;Rio Meão
010922;0109;Romariz
010924;0109;Sanguedo
010925;0109;Santa Maria de Lamas
010926;0109;São João de Ver
